iter	MultiClass
0	1.330868849
1	1.281431468
2	1.243507914
3	1.192130833
4	1.147873351
5	1.100298933
6	1.053360877
7	1.023002168
8	0.983339224
9	0.9559714961
10	0.9338661691
11	0.9058575294
12	0.8798822246
13	0.8554252164
14	0.8289579883
15	0.8048185656
16	0.7846031939
17	0.7655648788
18	0.7362360232
19	0.7169151874
20	0.6951445961
21	0.6732224296
22	0.6591568278
23	0.6404227392
24	0.6238468497
25	0.6083367797
26	0.5915309509
27	0.5780945589
28	0.5657127329
29	0.5508673097
30	0.5425323024
31	0.5309328992
32	0.5158328273
33	0.5078791375
34	0.4986102832
35	0.4896203763
36	0.4804656713
37	0.4702487875
38	0.4609230507
39	0.4507237256
40	0.4425131035
41	0.4360565671
42	0.4242939127
43	0.4130203129
44	0.4037838997
45	0.3963032529
46	0.3916014216
47	0.3853545675
48	0.3802452932
49	0.3741882016
50	0.3681434277
51	0.3620660365
52	0.3566016499
53	0.351987073
54	0.3460352161
55	0.340001504
56	0.3354760722
57	0.3300750793
58	0.3262508539
59	0.3209865045
60	0.315913788
61	0.3108194736
62	0.3064958692
63	0.3021803459
64	0.2990829595
65	0.2943555942
66	0.2897145998
67	0.2861376493
68	0.2823734514
69	0.2782738071
70	0.2740008387
71	0.2701726824
72	0.266456349
73	0.2628207358
74	0.2582717016
75	0.2544659464
76	0.2509288781
77	0.247153091
78	0.244384925
79	0.2413419221
80	0.2382586959
81	0.2345062248
82	0.2314556238
83	0.2284023003
84	0.225642161
85	0.2230678889
86	0.2202745973
87	0.2175819364
88	0.2149656567
89	0.2123422817
90	0.2102208896
91	0.2077106871
92	0.2050192587
93	0.2025515082
94	0.2000330017
95	0.1976607773
96	0.1955158552
97	0.1932941847
98	0.1908250316
99	0.1886377526
100	0.1863985517
101	0.1844948035
102	0.1823769611
103	0.1802799181
104	0.1782953195
105	0.1764967406
106	0.1747094767
107	0.172585544
108	0.1707619458
109	0.1689323069
110	0.1671547503
111	0.1654341571
112	0.1635897777
113	0.1618247073
114	0.1603603903
115	0.1587098017
116	0.1570609364
117	0.1555169876
118	0.1540048034
119	0.1525085447
120	0.1510031555
121	0.1495499832
122	0.1480821285
123	0.1465588472
124	0.14529775
125	0.1438874501
126	0.1425161475
127	0.1411994508
128	0.1398604541
129	0.138547499
130	0.1373087892
131	0.1362066899
132	0.1348616879
133	0.1336813639
134	0.13260745
135	0.1314652269
136	0.130249159
137	0.1291417703
138	0.1281834225
139	0.1272234501
140	0.1261789851
141	0.1253097688
142	0.1244798963
143	0.1234968682
144	0.1225576
145	0.1215778641
146	0.1207238733
147	0.1197205344
148	0.1187560598
149	0.1178661312
150	0.116983636
151	0.1160189517
152	0.1151679457
153	0.1143673708
154	0.1134731739
155	0.1126165395
156	0.1117078446
157	0.1109206452
158	0.1101797865
159	0.1094472223
160	0.1086401593
161	0.1078696703
162	0.1070851411
163	0.1062958994
164	0.105485342
165	0.1047268599
166	0.1039709133
167	0.1032236555
168	0.1024506826
169	0.1016977094
170	0.1009926245
171	0.100362188
172	0.09948477669
173	0.09876183323
174	0.09807925129
175	0.09738575536
176	0.09672554168
177	0.09611298252
178	0.0954764642
179	0.09489268873
180	0.09419315685
181	0.09353948364
182	0.09293383998
183	0.09229551321
184	0.09172508459
185	0.09105813966
186	0.09046338857
187	0.08992064441
188	0.08935761388
189	0.08878417824
190	0.08834784749
191	0.087802022
192	0.08726364819
